storeid,year,month,week,day,sales
125657,2017,9,39,20171025,0
125657,2017,9,39,20171026,0
125657,2017,9,39,20171027,0
125657,2017,9,39,20171028,0
125657,2017,10,40,20171029,0
125657,2017,10,40,20171030,0
125657,2017,10,40,20171031,0
125657,2017,10,40,20171101,0
125657,2017,10,40,20171102,0
125657,2017,10,40,20171103,0
125657,2017,10,40,20171104,0
125657,2017,10,41,20171105,0
125657,2017,10,41,20171106,0
125657,2017,10,41,20171107,0
125657,2017,10,41,20171108,0
125657,2017,10,41,20171109,0
125657,2017,10,41,20171110,0
125657,2017,10,41,20171111,0
125657,2017,10,42,20171112,0
125657,2017,10,42,20171113,0
125657,2017,10,42,20171114,0
125657,2017,10,42,20171115,0
125657,2017,10,42,20171116,0
125657,2017,10,42,20171117,0
125657,2017,10,42,20171118,0
125657,2017,10,43,20171119,0
125657,2017,10,43,20171120,0
125657,2017,10,43,20171121,0
125657,2017,10,43,20171122,0
125657,2017,10,43,20171123,0
125657,2017,10,43,20171124,0
125657,2017,10,43,20171125,0
125657,2017,11,44,20171126,0
125657,2017,11,44,20171127,0
125657,2017,11,44,20171128,0
125657,2017,11,44,20171129,0
125657,2017,11,44,20171130,0
125657,2017,11,44,20171201,0
125657,2017,11,44,20171202,0
125657,2017,11,45,20171203,0
125657,2017,11,45,20171204,0
125657,2017,11,45,20171205,0
125657,2017,11,45,20171206,0
125657,2017,11,45,20171207,0
125657,2017,11,45,20171208,0
125657,2017,11,45,20171209,0
125657,2017,11,46,20171210,0
125657,2017,11,46,20171211,0
125657,2017,11,46,20171212,0
125657,2017,11,46,20171213,0
125657,2017,11,46,20171214,0
125657,2017,11,46,20171215,0
125657,2017,11,46,20171216,0
125604,2016,1,1,20160131,23440.18
125604,2016,1,1,20160201,17951.24
125604,2016,1,1,20160202,12623.47
125604,2016,1,1,20160203,16207.32
125604,2016,1,1,20160204,18915.93
125604,2016,1,1,20160205,25470.13
125604,2016,1,1,20160206,49962.05
125604,2016,1,2,20160207,24765.77
125604,2016,1,2,20160208,19507.34
125604,2016,1,2,20160209,14991.35
125604,2016,1,2,20160210,21756.66
125604,2016,1,2,20160211,20614.35
125604,2016,1,2,20160212,29964.03
125604,2016,1,2,20160213,48615.91
125604,2016,1,3,20160214,34055.09
125604,2016,1,3,20160215,27725.29
125604,2016,1,3,20160216,18817.56
125604,2016,1,3,20160217,12613.65
125604,2016,1,3,20160218,19413.71
125604,2016,1,3,20160219,28796.25
125604,2016,1,3,20160220,46641.62
125604,2016,1,4,20160221,36939.05
125604,2016,1,4,20160222,17302.69
125604,2016,1,4,20160223,15963.91
125604,2016,1,4,20160224,21142.23
125604,2016,1,4,20160225,23333.3
125604,2016,1,4,20160226,30319.03
125604,2016,1,4,20160227,50481.71
125604,2016,2,5,20160228,37014.6
125604,2016,2,5,20160229,29328.33
125604,2016,2,5,20160301,17761.85
125604,2016,2,5,20160302,15899.61
125604,2016,2,5,20160303,22444.31
125604,2016,2,5,20160304,31994.81
125604,2016,2,5,20160305,45706.81
125604,2016,2,6,20160306,38350.81
125604,2016,2,6,20160307,11833.03
125604,2016,2,6,20160308,19689.16
125604,2016,2,6,20160309,19635.59
125604,2016,2,6,20160310,22011.95
125604,2016,2,6,20160311,28815.39
125604,2016,2,6,20160312,53972.53
125604,2016,2,7,20160313,34533.36
125604,2016,2,7,20160314,21949.68
125604,2016,2,7,20160315,21854.55
125604,2016,2,7,20160316,18865.35
125604,2016,2,7,20160317,20591.24
125604,2016,2,7,20160318,33237.97
125604,2016,2,7,20160319,49417.89
125604,2016,2,8,20160320,39480.75
125604,2016,2,8,20160321,19459.27
125604,2016,2,8,20160322,23196.66
125604,2016,2,8,20160323,23261.17
125604,2016,2,8,20160324,29045.38
125604,2016,2,8,20160325,40926.7
125604,2016,2,8,20160326,61480.58
125604,2016,3,9,20160327,22790.44
125604,2016,3,9,20160328,17637.97
125604,2016,3,9,20160329,19843.64
125604,2016,3,9,20160330,19333.51
125604,2016,3,9,20160331,25829.51
125604,2016,3,9,20160401,34371.38
125604,2016,3,9,20160402,42995.04
