storeid,year,month,week,day,sales
5805,2016,5,21,20160625,24954.82
5805,2016,6,22,20160626,12974.71
5805,2016,6,22,20160627,10952.12
5805,2016,6,22,20160628,11341.35
5805,2016,6,22,20160629,12314.35
5805,2016,6,22,20160630,14130.97
5805,2016,6,22,20160701,20245.93
5805,2016,6,22,20160702,25245.78
5805,2016,6,23,20160703,15236
5805,2016,6,23,20160704,10048.79
5805,2016,6,23,20160705,9891.8
5805,2016,6,23,20160706,11444.35
5805,2016,6,23,20160707,14521.04
5805,2016,6,23,20160708,19669.75
5805,2016,6,23,20160709,23812.2
5805,2016,6,24,20160710,19669.53
5805,2016,6,24,20160711,10570.33
5805,2016,6,24,20160712,10264.35
5805,2016,6,24,20160713,12944.47
5805,2016,6,24,20160714,14967.64
5805,2016,6,24,20160715,18269.99
5805,2016,6,24,20160716,26369.66
5805,2016,6,25,20160717,17410.96
5805,2016,6,25,20160718,13495.88
5805,2016,6,25,20160719,11582.66
5805,2016,6,25,20160720,14547.84
5805,2016,6,25,20160721,12205.42
5805,2016,6,25,20160722,19594.08
5805,2016,6,25,20160723,23106.6
5805,2016,6,26,20160724,14725.1
5805,2016,6,26,20160725,12955.98
5805,2016,6,26,20160726,12128
5805,2016,6,26,20160727,10191.41
5805,2016,6,26,20160728,13029.62
5805,2016,6,26,20160729,18511.02
5805,2016,6,26,20160730,24717.17
5805,2016,7,27,20160731,16392.98
5805,2016,7,27,20160801,12475.48
5805,2016,7,27,20160802,11239.17
5805,2016,7,27,20160803,11065.6
5805,2016,7,27,20160804,11683.13
5805,2016,7,27,20160805,17979.38
5805,2016,7,27,20160806,24441.65
5805,2016,7,28,20160807,15423.2
5805,2016,7,28,20160808,9075.93
5805,2016,7,28,20160809,10720.07
5805,2016,7,28,20160810,11719.02
5805,2016,7,28,20160811,15621.1
5805,2016,7,28,20160812,17625.55
5805,2016,7,28,20160813,26383.6
5805,2016,7,29,20160814,16498.03
5805,2016,7,29,20160815,12974.36
5805,2016,7,29,20160816,9281.66
5805,2016,7,29,20160817,10896.19
5805,2016,7,29,20160818,10899.55
5805,2016,7,29,20160819,18982.31
5805,2016,7,29,20160820,28229.22
5805,2016,7,30,20160821,17908.47
5805,2016,7,30,20160822,7345.75
5805,2016,7,30,20160823,10358.31
5805,2016,7,30,20160824,11726.31
5805,2016,7,30,20160825,11884.26
5805,2016,7,30,20160826,18999.34
5805,2016,7,30,20160827,26421.35
5805,2016,8,31,20160828,16649.21
5805,2016,8,31,20160829,8895.09
5805,2016,8,31,20160830,8044.9
5805,2016,8,31,20160831,10049.73
5805,2016,8,31,20160901,11274.69
5805,2016,8,31,20160902,18135.17
5805,2016,8,31,20160903,24199.45
5805,2016,8,32,20160904,14579.24
5805,2016,8,32,20160905,17581.41
5805,2016,8,32,20160906,7988.71
5805,2016,8,32,20160907,8932.2
5805,2016,8,32,20160908,10955.79
5805,2016,8,32,20160909,16268.48
5805,2016,8,32,20160910,26812.35
5805,2016,8,33,20160911,20159.06
5805,2016,8,33,20160912,5488.22
5805,2016,8,33,20160913,8516.95
5805,2016,8,33,20160914,9816.85
5805,2016,8,33,20160915,12138.39
5805,2016,8,33,20160916,17497.78
5805,2016,8,33,20160917,32415.6
5805,2016,8,34,20160918,13085.62
5805,2016,8,34,20160919,8919.86
5805,2016,8,34,20160920,9595.08
5805,2016,8,34,20160921,9161.77
5805,2016,8,34,20160922,9974.38
5805,2016,8,34,20160923,17635.26
5805,2016,8,34,20160924,26534.02
5805,2016,9,35,20160925,15536.29
5805,2016,9,35,20160926,8532.95
5805,2016,9,35,20160927,7567.64
5805,2016,9,35,20160928,7340.91
5805,2016,9,35,20160929,13142.72
5805,2016,9,35,20160930,17055.51
5805,2016,9,35,20161001,24577.06
5805,2016,9,36,20161002,14702.63
5805,2016,9,36,20161003,11003.62
5805,2016,9,36,20161004,9715.96
5805,2016,9,36,20161005,10257.53
5805,2016,9,36,20161006,13930.67
5805,2016,9,36,20161007,15696.98
5805,2016,9,36,20161008,22192.25
5805,2016,9,37,20161009,15929.67
5805,2016,9,37,20161010,8583.52
5805,2016,9,37,20161011,8410.9
5805,2016,9,37,20161012,9516.66
5805,2016,9,37,20161013,14057.4
5805,2016,9,37,20161014,15678.64
5805,2016,9,37,20161015,28714.54
5805,2016,9,38,20161016,16083.72
5805,2016,9,38,20161017,8902.17
5805,2016,9,38,20161018,10056.4
5805,2016,9,38,20161019,8627.51
5805,2016,9,38,20161020,12314.1
5805,2016,9,38,20161021,17696.82
5805,2016,9,38,20161022,29230.04
5805,2016,9,39,20161023,19967.18
5805,2016,9,39,20161024,7674.68
5805,2016,9,39,20161025,11782.56
5805,2016,9,39,20161026,8578.01
5805,2016,9,39,20161027,17108.53
5805,2016,9,39,20161028,30791.37
5805,2016,9,39,20161029,28225.82
5805,2016,10,40,20161030,19970.97
5805,2016,10,40,20161031,8514.93
5805,2016,10,40,20161101,13954.66
5805,2016,10,40,20161102,11858.08
5805,2016,10,40,20161103,16758.29
5805,2016,10,40,20161104,27209.37
5805,2016,10,40,20161105,39618.54
5805,2016,10,41,20161106,21521.63
5805,2016,10,41,20161107,10791.16
5805,2016,10,41,20161108,14898.64
5805,2016,10,41,20161109,15278.12
5805,2016,10,41,20161110,17802.14
5805,2016,10,41,20161111,32000.55
5805,2016,10,41,20161112,39750.07
5805,2016,10,42,20161113,28682.56
5805,2016,10,42,20161114,15328.64
5805,2016,10,42,20161115,15756.31
5805,2016,10,42,20161116,16217.83
5805,2016,10,42,20161117,23180.03
5805,2016,10,42,20161118,28735.39
5805,2016,10,42,20161119,49362.59
5805,2016,10,43,20161120,34726.27
5805,2016,10,43,20161121,22194.14
5805,2016,10,43,20161122,23200.82
5805,2016,10,43,20161123,30059.99
5805,2016,10,43,20161124,91292
5805,2016,10,43,20161125,142240
5805,2016,10,43,20161126,56347.29
